Species,Population,Plant,Ramet,Bract,OS_length,chord_length,total_length,angle,curvature,date
H.hirsuta,Garden,G-HIR-01,1,1,26.2,30,53.44,12.9,,20180220
H.hirsuta,Garden,G-HIR-01,2,4,27.6,30.01,53.02,11.75,,20180220
H.hirsuta,Garden,G-HIR-01,2,7,24.2,29.8,51.228,17.3,,20180220
H.hirsuta,Garden,G-HIR-01,5,5,27.7,30.24,49.6,9.59,,20180220
H.hirsuta,Garden,G-HIR-01,4,1,27.6,30.16,50.3,14.3,,20180220
H.hirsuta,Garden,G-HIR-01,4,7,26.7,30.2,50.54,15.18,,20180220
H.hirsuta,Garden,G-HIR-01,2,3,26.6,34.9,51.8,24.4,,20180221
H.hirsuta,Garden,G-HIR-01,4,3,28.3,39.5,53.1,15.3,,20180221
H.hirsuta,Garden,G-HIR-01,3,2,27.8,30.06,50.9,9.67,,20180221
H.hirsuta,Garden,G-HIR-01,6,3,27.3,41.9,52.1,14.1,,20180221
H.metallica,Garden,G-MET-01,3,3,32.1,39,56.6,22.4,,20180220
H.metallica,Garden,G-MET-02,1,3,25.8,40.2,50.8,28.3,,20180221
H.metallica,Garden,G-MET-02,2,4,27.2,36.8,47.8,27.6,,20180221
H.metallica,Garden,G-MET-01,5,2,41.1,46.8,64.2,21.6,,20180224
H.metallica,Garden,G-MET-03,2,1,34.8,27.7,47.7,27.6,,20180227
H.metallica,Garden,G-MET-03,1,1,33.6,24.8,45.4,23.2,,20180227
H.metallica,Garden,G-MET-05,1,1,33.4,29.3,45.3,23.4,,20180227
H.metallica,Garden,G-MET-01,,,37.3,41.1,59.3,26.1,,20180301
H.metallica,Garden,G-MET-01,4,2,46.8,46.4,63,19.6,,20180302
H.ramonensis,Garden,G-RAM-02,1,5,25.2,33.3,55.5,58.3,,20180220
H.ramonensis,Garden,G-RAM-02,1,9,26,33.5,55.2,54.3,,20180221
H.ramonensis,Garden,G-RAM-02,1,10,24.7,32.1,56,66.6,,20180221
H.ramonensis,Garden,G-RAM-02,1,7,28.6,34.4,54.5,54.1,,20180224
H.ramonensis,Garden,G-RAM-01,5,8,23,33.7,56.2,56.5,,20180224
H.ramonensis,Garden,G-RAM-01,5,11,25.6,33.4,55.8,62.9,,20180224
H.ramonensis,Garden,G-RAM-01,3,4,26.5,29.9,53.6,52.2,,20180224
H.ramonensis,Garden,G-RAM-02,1,7,29.8,31.4,52.2,55.3,,20180301
H.ramonensis,Garden,G-RAM-02,1,9,32.6,32.6,57,56.7,,20180301
H.ramonensis,Garden,G-RAM-02,1,10,32.6,31.1,55,65.2,,20180301
H.ramonensis,Garden,G-RAM-01,1,2,30.1,29.5,55.6,54.1,,20180301
H.rostrata,Finca_del_Sol,FDS-ROS-01,2,4,27.2,30.05,52.4,15.48,,20180227
H.rostrata,Pino_Colina,PC-ROS-04,2,,29.9,30.2,53.9,14.61,,20180301
H.rostrata,Pino_Colina,PC-ROS-10,1,3,30.131,30.3,51.577,12.72,,20180307
H.rostrata,Pino_Colina,PC-ROS-11,1,5,32.02,30.3,53.26,16.8,,20180313
H.rostrata,Pino_Colina,FDS-ROS-01,1,11,30.15,30.02,53.8,12.75,,20180325
H.rostrata,Garden,G-ROS-02,,,,29.94,50.256,21.32,,20180219
H.rostrata,Garden,G-ROS-02,,,,30.2,48.018,16.64,,20180219
H.rostrata,Garden,G-ROS-02,,,,30.12,49.705,16.94,,20180219
H.rostrata,Garden,G-ROS-02,,,,30.57,53.756,20.76,,20180219
H.rostrata,Garden,G-ROS-02,,,,30.8,53.673,16.21,,20180219
H.rostrata,Garden,G-ROS-02,1,,,30.34,49.587,13.08,,20170216
H.rostrata,Garden,G-ROS-02,20,5,,30.8,49.602,17.03,,20170215
H.rostrata,Garden,G-ROS-01,1,,,29.46,44.879,15.88,,20170216
H.wagneriana,Pino_Colina,PC-WAG-02,1,2,43.7,30.1,62.8,11.03,,20180220
H.wagneriana,Pino_Colina,PC-WAG-02,1,6,50,30.09,67.1,15.49,,20180220
H.wagneriana,Pino_Colina,PC-WAG-01,3,4,57.8,30.6,70,16.78,,20180302
H.wagneriana,Garden,G-WAG-03,1,2,55.324,30.04,71.849,16.8,,20180306
H.wagneriana,Garden,G-WAG-03,1,5,55.98,30.2,71.639,11.01,,20180306
H.wagneriana,Pino_Colina,PC-WAG-02,4,3,55.419,30.04,67.466,13.44,,20180306
H.wagneriana,Garden,G-WAG-03,2,3,58.182,30.5,75.812,14.15,,20180307
H.wagneriana,Pino_Colina,PC-WAG-04,1,5,60.823,30.9,72.34,15.3,,20180311
H.wagneriana,Pino_Colina,PC-WAG-01,1,7,53.88,30.4,71.48,19.9,,20180313
H.tortuosa,16,16_60,,2,NA,28.276,56.65,13.326,,20190215
H.tortuosa,16,16_32,,3,36.479,28.478,56.744,15.764,,20190215
H.tortuosa,200,200_151,,2,32.745,28.687,54.384,16.905,,20190215
H.tortuosa,16,16_57,,3,33,28.796,57.671,20.323,,20190215
H.tortuosa,58,58_170,,3,28.605,28.907,52.465,23.518,,20190211
H.tortuosa,200,200_162,,2,39.899,29.119,59.507,18.529,,20190215
H.tortuosa,16,16_30,,2,34.198,29.137,55.095,20.062,,20190215
H.tortuosa,16,16_57,,5,33.473,29.185,51.083,24.337,,20190215
H.tortuosa,30,30_56,,3,NA,29.364,61.991,20.932,,20190226
H.tortuosa,32,32_75,,2,35.429,29.614,61.096,27.4,,20190223
H.tortuosa,30,30_57,,1,33.603,29.716,58.411,26.123,,20190226
H.tortuosa,30,30_67,,4,31.11,29.75,60.825,28.336,,20190226
H.tortuosa,16,16_36.1,,2,33.816,30.25,60.493,19.5,,20190215
H.tortuosa,16,16_48,,2,34.586,30.38,60.057,22.1,,20190215
H.tortuosa,32,32_66,,5,35.711,30.472,56.905,14.162,,20190223
H.tortuosa,32,32_66,,2,33.958,30.746,59.897,21.121,,20190223
H.tortuosa,30,30_56,,4,34.703,30.827,60.984,25.875,,20190226
H.tortuosa,16,16_39,,2,34.681,31.004,58.753,16.928,,20190215
H.tortuosa,30,30_53,,5,33.483,31.067,64.983,32.705,,20190226
H.tortuosa,200,200_161,,1,35.763,31.082,60.475,27.523,,20190215
H.tortuosa,30,30_53,,4,33.252,31.093,65.145,32.322,,20190226
H.tortuosa,29,29_37,,1,34.151,31.131,58.084,29.066,,20190215
H.tortuosa,29,29_41,,4,32.043,31.134,53.56,30.356,,20190215
H.tortuosa,30,30_53,,1,NA,31.252,65.333,24.473,,20190226
H.tortuosa,60,60_173,,2,33.173,31.319,55.469,33.675,,20190228
H.tortuosa,29,29_49,,5,33.051,31.665,56.171,25.59,,20190215
H.tortuosa,30,30_58,,3,30.4,31.804,62.772,23.029,,20190226
H.tortuosa,30,30_57,,2,31.239,31.981,59.432,24.108,,20190226
H.tortuosa,16,16_125,,6,37.381,32.188,59.007,25.565,,20190215
H.tortuosa,30,30_67,,3,31.38,32.425,61.091,34.673,,20190226
H.tortuosa,16,16_54,,2,NA,32.486,62.013,28.374,,20190215
H.tortuosa,29,29_46,,2,NA,32.515,59.697,28.195,,20190215
H.tortuosa,29,29_36,,7,33.492,32.66,59.413,26.288,,20190215
H.tortuosa,200,200_141,,1,34.534,32.693,55.154,21.425,,20190215
H.tortuosa,200,200_162,,3,38.741,32.964,62.686,22.405,,20190215