Flower_ID,Experiment,Species,Focal_Loc,Plant,Treatment,HP_time,PD_Loc,PD_plant,Date,Damage,Nectar_Out,Brix,Pollen_added_after_visit,Tube_Count
75,17_001,H.tortuosa,Garden,G-TOR-02,HPNE,930,Garden,G-TOR-01,20170213,NA,NA,NA,NA,0
76,17_001,H.tortuosa,Garden,G-TOR-02,HPNE,930,Garden,G-TOR-01,20170213,NA,NA,NA,NA,0
137,17_015,H.tortuosa,Garden,G-TOR-02,HPNE,600,Garden,G-TOR-01,20170218,NA,NA,NA,NA,0
165,17_015,H.tortuosa,Garden,G-TOR-02,HPNE,600,Garden,G-TOR-01,20170218,NA,NA,NA,NA,0
222,17_043,H.tortuosa,Garden,G-TOR-02,HPNE,630,Garden,G-TOR-01,20170303,NA,NA,NA,NA,0
227,17_043,H.tortuosa,Garden,G-TOR-02,HPNE,600,Garden,G-TOR-01,20170303,NA,NA,NA,NA,0
230,17_043,H.tortuosa,Garden,G-TOR-01,HPNE,NA,Garden,G-TOR-02,20170303,NA,5.5,16.2,NA,0
308,17_050,H.rostrata,Pino_Colina,PC-ROS-03,HPNE,800,Garden,G-ROS-02,20170308,NA,18,28.5,NA,0
332,17_037,H.tortuosa,Garden,G-TOR-02,HPNE,700,Garden,G-TOR-01,20170228,NA,5.5,12,NA,0
333,17_048,H.rostrata,Pino_Colina,PC-ROS-01,HPNE,830,Garden,G-ROS-01,20170307,NA,35,26.8,0,0
334,17_048,H.rostrata,Pino_Colina,PC-ROS-01,HPNE,830,Garden,G-ROS-01,20170307,NA,35.5,29.3,1,0
343,17_052,H.rostrata,Pino_Colina,PC-ROS-04,HPNE,700,Garden,G-ROS-02,20170314,NA,33,10,0,0
344,17_060,H.rostrata,Garden,G-ROS-02,HPNE,800,Pino_Colina,PC-ROS-01,20170317,NA,27,25.4,1,0
364,17_015,H.tortuosa,Garden,G-TOR-02,HPNE,730,Garden,G-TOR-01,20170217,NA,NA,NA,NA,0
374,17_039,H.tortuosa,Garden,G-TOR-01,HPNE,730,Garden,G-TOR-02,20170301,NA,1,NA,NA,1
395,17_037,H.tortuosa,Garden,G-TOR-01,HPNE,630,Garden,G-TOR-02,20170228,NA,19.5,18.2,NA,0
425,17_041,H.rostrata,Garden,G-ROS-02,HPNE,630,Garden,G-ROS-01,20170302,NA,0,NA,NA,0
432,17_039,H.tortuosa,Garden,G-TOR-02,HPNE,730,Garden,G-TOR-01,20170301,NA,44,25,NA,1
463,17_015,H.tortuosa,Garden,G-TOR-02,HPNE,800,Garden,G-TOR-01,20170217,NA,NA,NA,NA,0
501,17_050,H.rostrata,Pino_Colina,PC-ROS-03,HPNE,800,Garden,G-ROS-02,20170308,NA,38,30,NA,0
504,17_037,H.tortuosa,Garden,G-TOR-01,HPNE,630,Garden,G-TOR-02,20170228,NA,7.5,21.4,NA,1
507,17_060,H.rostrata,Garden,G-ROS-02,HPNE,800,Pino_Colina,PC-ROS-01,20170317,NA,51.5,24.4,0,0
513,17_037,H.tortuosa,Garden,G-TOR-01,HPNE,600,Garden,G-TOR-02,20170228,NA,0,NA,NA,0
516,17_051,H.tortuosa,Garden,G-TOR-02,HPNE,600,Garden,G-TOR-01,20170313,NA,6,29,1,0
522,17_050,H.rostrata,Garden,G-ROS-02,HPNE,1000,Pino_Colina,PC-ROS-01,20170308,NA,40,17,1,0
523,17_050,H.rostrata,Garden,G-ROS-02,HPNE,1000,Pino_Colina,PC-ROS-01,20170308,NA,46.5,23,1,0
524,17_053,H.wagneriana,Pino_Colina,PC-WAG-01,HPNE,930,Garden,G-WAG-01,20170314,NA,38,>32,0,0
525,17_053,H.wagneriana,Garden,G-WAG-01,HPNE,1030,Pino_Colina,PC-WAG-01,20170314,NA,33,>32,1,0
533,17_048,H.rostrata,Garden,G-ROS-02,HPNE,930,Pino_Colina,PC-ROS-03,20170307,NA,29.5,26,NA,0
534,17_056,H.hirsuta,Pino_Colina,PC-HIR-01,HPNE,730,Garden,G-HIR-01,20170316,NA,10.5,25.8,NA,0
535,17_051,H.tortuosa,Garden,G-TOR-01,HPNE,700,Garden,G-TOR-02,20170313,NA,3,30.3,1,1
539,17_050,H.rostrata,Pino_Colina,PC-ROS-01,HPNE,830,Garden,G-ROS-02,20170308,NA,23.5,27,1,0
540,17_058,H.wagneriana,Garden,G-WAG-01,HPNE,1130,Pino_Colina,PC-WAG-01,20170316,NA,43.5,31.8,0,1
543,17_039,H.tortuosa,Garden,G-TOR-01,HPNE,800,Garden,G-TOR-02,20170301,NA,1,NA,NA,1
544,17_037,H.tortuosa,Garden,G-TOR-02,HPNE,700,Garden,G-TOR-01,20170228,NA,4,10,NA,0
553,17_058,H.wagneriana,Pino_Colina,PC-WAG-03,HPNE,800,Garden,G-WAG-01,20170316,NA,22.5,>32,0,0
560,17_058,H.wagneriana,Pino_Colina,PC-WAG-01,HPNE,900,Garden,G-WAG-01,20170316,NA,29,>32,1,1
562,17_039,H.tortuosa,Garden,G-TOR-02,HPNE,730,Garden,G-TOR-01,20170301,NA,NA,NA,NA,1
566,17_058,H.wagneriana,Garden,G-WAG-01,HPNE,1100,Pino_Colina,PC-WAG-01,20170316,NA,23,>32,1,1
575,17_050,H.rostrata,Pino_Colina,PC-ROS-02,HPNE,800,Garden,G-ROS-02,20170308,NA,34,33,0,0
579,17_058,H.wagneriana,Pino_Colina,PC-WAG-03,HPNE,800,Garden,G-WAG-01,20170316,NA,12,>32,1,0
580,17_050,H.rostrata,Pino_Colina,PC-ROS-02,HPNE,730,Garden,G-ROS-02,20170308,NA,2,NA,0,0
582,17_050,H.rostrata,Pino_Colina,PC-ROS-01,HPNE,900,Garden,G-ROS-02,20170308,NA,19,29,NA,0
583,17_050,H.rostrata,Pino_Colina,PC-ROS-01,HPNE,900,Garden,G-ROS-02,20170308,NA,34,25.5,NA,0
584,17_053,H.wagneriana,Garden,G-WAG-01,HPNE,1030,Pino_Colina,PC-WAG-01,20170314,NA,17.5,>32,0,2
585,17_050,H.rostrata,Garden,G-ROS-02,HPNE,1000,Pino_Colina,PC-ROS-01,20170308,NA,NA,NA,1,0
586,17_054,H.hirsuta,Pino_Colina,PC-HIR-03,HPNE,800,Garden,G-HIR-01,20170315,NA,17.5,29.6,NA,2
606,17_051,H.tortuosa,Garden,G-TOR-02,HPNE,530,Garden,G-TOR-01,20170313,NA,0,NA,0,0
611,17_058,H.wagneriana,Pino_Colina,PC-WAG-02,HPNE,830,Garden,G-WAG-01,20170316,NA,18,>32,1,0
615,17_055,H.wagneriana,Pino_Colina,PC-WAG-03,HPNE,800,Garden,G-WAG-01,20170315,NA,23,30.5,1,0
622,17_051,H.tortuosa,Garden,G-TOR-02,HPNE,600,Garden,G-TOR-01,20170313,NA,0,NA,0,0
623,17_051,H.tortuosa,Garden,G-TOR-02,HPNE,530,Garden,G-TOR-01,20170313,NA,12,29,1,0
624,17_062,H.wagneriana,Garden,G-WAG-01,HPNE,700,Pino_Colina,PC-WAG-01,20170317,NA,9.5,>32,0,2
626,17_062,H.wagneriana,Garden,G-WAG-01,HPNE,730,Pino_Colina,PC-WAG-01,20170317,NA,14,>32,NA,1
627,17_054,H.hirsuta,Pino_Colina,PC-HIR-03,HPNE,800,Garden,G-HIR-01,20170315,NA,17,30.8,NA,1
631,17_050,H.rostrata,Pino_Colina,PC-ROS-02,HPNE,730,Garden,G-ROS-02,20170308,NA,12.5,29.5,1,1
638,17_037,H.tortuosa,Garden,G-TOR-01,HPNE,610,Garden,G-TOR-02,20170228,NA,0.5,NA,NA,1
640,17_055,H.wagneriana,Pino_Colina,PC-WAG-03,HPNE,830,Garden,G-WAG-01,20170315,NA,32,30,0,0
652,17_041,H.rostrata,Garden,G-ROS-02,HPNE,600,Garden,G-ROS-01,20170302,NA,25,12.4,NA,0
659,17_041,H.rostrata,Garden,G-ROS-02,HPNE,600,Garden,G-ROS-01,20170302,NA,8.5,26.4,NA,1
660,17_055,H.wagneriana,Pino_Colina,PC-WAG-01,HPNE,700,Garden,G-WAG-01,20170315,NA,10.5,>32,0,2
661,17_037,H.tortuosa,Garden,G-TOR-02,HPNE,700,Garden,G-TOR-01,20170228,NA,12.5,24.6,NA,0
688,17_062,H.wagneriana,Garden,G-WAG-01,HPNE,700,Pino_Colina,PC-WAG-01,20170317,NA,16.5,>32,0,1
693,17_053,H.wagneriana,Pino_Colina,PC-WAG-04,HPNE,900,Garden,G-WAG-01,20170314,NA,NA,NA,NA,0
695,17_053,H.wagneriana,Pino_Colina,PC-WAG-02,HPNE,930,Garden,G-WAG-01,20170314,NA,10.5,>32,1,0
701,17_058,H.wagneriana,Garden,G-WAG-01,HPNE,1130,Pino_Colina,PC-WAG-01,20170316,NA,23,>32,0,0
710,17_055,H.wagneriana,Pino_Colina,PC-WAG-01,HPNE,700,Garden,G-WAG-01,20170315,NA,7.5,>32,1,0
712,17_058,H.wagneriana,Garden,G-WAG-01,HPNE,1100,Pino_Colina,PC-WAG-01,20170316,NA,23,>32,0,2
734,17_041,H.rostrata,Garden,G-ROS-02,HPNE,NA,Garden,G-ROS-01,20170302,NA,23.5,19.4,NA,0
735,17_041,H.rostrata,Garden,G-ROS-02,HPNE,730,Garden,G-ROS-01,20170302,NA,14.5,20,NA,0
749,17_053,H.wagneriana,Pino_Colina,PC-WAG-03,HPNE,830,Garden,G-WAG-01,20170314,NA,17,32,1,1
759,17_060,H.rostrata,Garden,G-ROS-02,HPNE,830,Pino_Colina,PC-ROS-01,20170317,NA,11,27.4,0,1
760,17_060,H.rostrata,Garden,G-ROS-02,HPNE,830,Pino_Colina,PC-ROS-01,20170317,NA,36,26,1,0
764,17_053,H.wagneriana,Pino_Colina,PC-WAG-02,HPNE,900,Garden,G-WAG-01,20170314,NA,0,NA,1,0
765,17_052,H.rostrata,Pino_Colina,PC-ROS-03,HPNE,730,Garden,G-ROS-02,20170314,NA,30.5,>32,1,0
771,17_048,H.rostrata,Pino_Colina,PC-ROS-01,HPNE,800,Garden,G-ROS-01,20170307,NA,5,30.4,0,1
775,17_048,H.rostrata,Garden,G-ROS-02,HPNE,1000,Pino_Colina,PC-ROS-03,20170307,NA,7,27.6,NA,1
794,17_052,H.rostrata,Pino_Colina,PC-ROS-01,HPNE,730,Garden,G-ROS-02,20170314,NA,39,>32,0,0
795,17_052,H.rostrata,Pino_Colina,PC-ROS-03,HPNE,800,Garden,G-ROS-02,20170314,NA,38.5,>32,0,0
806,17_048,H.rostrata,Pino_Colina,PC-ROS-03,HPNE,900,Garden,G-ROS-01,20170307,NA,NA,32,0,0
808,17_052,H.rostrata,Pino_Colina,PC-ROS-04,HPNE,700,Garden,G-ROS-02,20170314,NA,0,NA,1,0
810,17_052,H.rostrata,Pino_Colina,PC-ROS-01,HPNE,700,Garden,G-ROS-02,20170314,NA,34.5,>32,1,0
34,14,H.rostrata,Garden,G-ROS-02,HPNE,1100,Pino_Colina,PC-ROS-06,20180217,L,4,26,0,0
36,15,H.wagneriana,Garden,G-WAG-02,HPNE,1130,Pino_Colina,PC-WAG-01,20180217,L,7,30,0,0
58,28,H.tortuosa,Garden,G-TOR-02,HPNE,1000,Garden,G-TOR-06,20180220,L,21,>32,0,0
60,29,H.tortuosa,Garden,G-TOR-02,HPNE,1030,Garden,G-TOR-06,20180220,L,38,31,0,0
62,30,H.tortuosa,Garden,G-TOR-02,HPNE,1030,Garden,G-TOR-06,20180220,M,46,30,0,0
78,38,H.tortuosa,Garden,G-TOR-02,HPNE,1030,Garden,G-TOR-07,20180224,L,5,28,0,0
81,39,H.tortuosa,Garden,G-TOR-02,HPNE,1100,Garden,G-TOR-07,20180224,M,21,29,0,2
82,39,H.tortuosa,Garden,G-TOR-02,HPNE,1100,Garden,G-TOR-07,20180224,L,17,29,0,0
87,42,H.rostrata,Garden,G-ROS-02,HPNE,1030,Roadside,RS-ROS-01,20180227,L,31,23,0,0
88,43,H.rostrata,Garden,G-ROS-03,HPNE,1100,Finca_del_Sol,FDS-ROS-01,20180227,L,1,NA,0,0
150,74,H.rostrata,Garden,G-ROS-02,HPNE,1100,Pino_Colina,PC-ROS-11,20180311,L,22,26,0,2
194,94,H.rostrata,Pino_Colina,PC-ROS-02,HPNE,1000,Garden,G-ROS-02,20180319,NA,2,,0,0
195,94,H.rostrata,Pino_Colina,PC-ROS-02,HPNE,1000,Garden,G-ROS-02,20180319,NA,9,1,0,0
196,95,H.rostrata,Pino_Colina,PC-ROS-03,HPNE,1030,Garden,G-ROS-02,20180319,L,30,26,0,0
199,97,H.rostrata,Pino_Colina,PC-ROS-09,HPNE,1100,Garden,G-ROS-02,20180319,M,43,22,0,0
210,102,H.tortuosa,Garden,G-TOR-02,HPNE,1132,Garden,G-TOR-10,20180322,L,8,18,0,0
211,102,H.tortuosa,Garden,G-TOR-02,HPNE,1132,Garden,G-TOR-10,20180322,L,29,25,0,0
212,103,H.tortuosa,Garden,G-TOR-01,HPNE,1100,Garden,G-TOR-02,20180323,H,0,NA,0,0
213,103,H.tortuosa,Garden,G-TOR-01,HPNE,1100,Garden,G-TOR-02,20180323,L,5,3,0,1
218,105,H.tortuosa,Garden,G-TOR-08,HPNE,1045,33,33-TOR-02,20180324,NA,NA,NA,0,0
219,105,H.tortuosa,Garden,G-TOR-08,HPNE,1045,33,33-TOR-02,20180324,NA,NA,NA,0,1
221,106,H.rostrata,Pino_Colina,PC-ROS-07,HPNE,900,Finca_del_Sol,FDS-ROS-01,20180325,NA,11,21,0,0
223,107,H.rostrata,Pino_Colina,PC-ROS-02,HPNE,930,Finca_del_Sol,FDS-ROS-03,20180325,NA,13,19,0,0
252,110,H.rostrata,Garden,G-ROS-04,HPNE,730,Garden,G-ROS-02,20190208,NA,2,NA,0,0
253,110,H.rostrata,Garden,G-ROS-04,HPNE,730,Garden,G-ROS-02,20190208,NA,31,5,0,0
254,111,H.tortuosa,Garden,G-TOR-05,HPNE,900,Garden,G-TOR-08,20190208,NA,2.5,14,0,1
257,112,H.tortuosa,Garden,G-TOR-02,HPNE,930,Garden,G-TOR-05,20190208,NA,26,29.6,0,0
